reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
7e1ac0dd-792f-41a1-af72-e6112f80fff4,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,better than zomato,5,0,4.85.2,2025-08-06 12:44:36,"Hello, thanks for the ratings. Please share your valuable feedback by dropping an email at swiggysocial@swiggy.in so that we may look into this & take necessary action.",2025-08-06 12:52:35,4.85.2
47a0205c-2d11-4f8a-8334-dc06a794fbb7,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,thank you,4,0,4.85.2,2025-08-06 12:42:28,"Hey, thanks for the rating! This motivates us to keep serving you better with every order. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email at swiggysocial@swiggy.in.",2025-08-06 12:42:46,4.85.2
71a2dbf9-d7c5-4d76-8bf9-4628b14b466c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,4.85.2,2025-08-06 12:38:33,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-08-06 12:42:45,4.85.2
5e7e7368-423d-4601-bbde-e2fe00b41ae8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,very nice,5,0,4.85.2,2025-08-06 12:38:16,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-08-06 12:42:46,4.85.2
e7b40839-74f6-4c1a-a3ac-b6c845133750,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Disappointed with Swiggy’s unfair cancellation policy. Accidentally placed an order while switching to Pay on Delivery — app auto-confirmed without asking and no cancel option was shown. Lost ₹197 for nothing. Support just repeats policy instead of checking my clean payment history. I’ve always prepaid and never misused the app. Now I can’t use my Swiggy One birthday offer either. If this is how loyal users are treated, I’ll stop using Swiggy permanently.",1,0,4.85.2,2025-08-06 12:36:35,"Hello, we apologize for this situation. Kindly send us the order ID via email at swiggysocial@swiggy.in, so we can assist in resolving the issue.
",2025-08-06 13:08:05,4.85.2
36346813-28e1-4e67-9ce9-ecba004b0a1d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"They will steal your money... delivery charges are never refunded even though food gets cancelled. Swiggy charged me Rs.220/- as delivery charges but then cancelled my order as the item was not available. They went ahead to process the cost of the item but decided to keep the delivery cost to themselves. Customer support asked me to forget this issue as one-off mistake. However, no refund on delivery cost, no future discount, nothing was given... Swiggy decided to steal my money.",1,0,4.85.2,2025-08-06 12:36:26,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-08-06 12:42:45,4.85.2
2c16490c-65cc-48df-8b5b-990dbeb025fb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,1,0,4.85.2,2025-08-06 12:36:02,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-08-06 12:42:45,4.85.2
90e61387-3ce6-4220-ac07-cd848e628735,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best,5,0,4.85.2,2025-08-06 12:36:01,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-08-06 12:42:44,4.85.2
3cd4f4a8-e500-4ab2-937d-e9109d3431a3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,superb,5,0,4.85.2,2025-08-06 12:35:33,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-08-06 12:42:45,4.85.2
e4d0e03d-dbb7-42d4-9651-b301f9596cc4,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,super,3,0,4.85.2,2025-08-06 12:32:07,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-08-06 12:33:03,4.85.2
